orig_code,orig_name,orig_city,OriginState,orig_lat,orig_lon,dest_code,dest_name,dest_city,DestState,dest_lat,dest_lon,AirlineDelay_med,AirlineDelay_10frac,AirlineDelay_20frac,AirlineDelay_30frac,AirlineDelay_mean,Distance_mean,AirTime_mean,ActualElapsedTime_mean,Flight_Count
SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43429946899414,-112.01200103759766,26.0,0.114942528736,0.0840517241379,0.0524425287356,36.4153005464,304.0,50.0483870968,70.6898826979,1392
SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,RNO,Reno Tahoe International Airport,Reno,NV,39.49909973144531,-119.76799774169922,26.0,0.11797752809,0.0786516853933,0.061797752809,35.36,488.0,72.56,87.9314285714,178
SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,0.0,0.120844327177,0.0970976253298,0.0738786279683,26.204238921,447.0,70.1368307193,91.4694429421,1895
SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,24.0,0.137973137973,0.0903540903541,0.0512820512821,33.3114754098,417.0,63.8089330025,79.8771712159,819
SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,36.0,0.0806451612903,0.0596774193548,0.0516129032258,90.2105263158,626.0,88.5873786408,110.488673139,620
SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,26.0,0.134328358209,0.0990502035278,0.0637720488467,36.875,480.0,73.7711171662,90.0258855586,737
SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,TUS,Tucson International Airport,Tucson,AZ,32.1161003112793,-110.94100189208984,31.5,0.207468879668,0.170124481328,0.112033195021,45.0769230769,368.0,53.0290456432,68.1701244813,241
SBA,Santa Barbara Municipal Airport,Santa Barbara,CA,34.42620087,-119.8399963,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,18.5,0.0847457627119,0.0706214689266,0.0564971751412,38.9,89.0,25.6837606838,56.7720797721,354
SBA,Santa Barbara Municipal Airport,Santa Barbara,CA,34.42620087,-119.8399963,PDX,Portland International Airport,Portland,OR,45.58869934,-122.5979996,41.0,0.0989010989011,0.0769230769231,0.0769230769231,65.4444444444,784.0,112.087912088,126.934065934,91
SBA,Santa Barbara Municipal Airport,Santa Barbara,CA,34.42620087,-119.8399963,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43429946899414,-112.01200103759766,25.0,0.0625,0.0454545454545,0.0284090909091,114.583333333,455.0,70.2102272727,92.2329545455,176
SBA,Santa Barbara Municipal Airport,Santa Barbara,CA,34.42620087,-119.8399963,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,19.0,0.17358490566,0.149056603774,0.115094339623,41.4320987654,262.0,47.8370672098,70.5539714868,530
SBP,San Luis County Regional Airport,San Luis Obispo,CA,35.236801147499996,-120.641998291,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,15.5,0.0771349862259,0.0578512396694,0.0468319559229,33.06,156.0,35.2905027933,64.0642458101,363
SBP,San Luis County Regional Airport,San Luis Obispo,CA,35.236801147499996,-120.641998291,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43429946899414,-112.01200103759766,35.0,0.0603448275862,0.051724137931,0.0431034482759,45.5,509.0,72.5789473684,91.8157894737,116
SBP,San Luis County Regional Airport,San Luis Obispo,CA,35.236801147499996,-120.641998291,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,25.5,0.186813186813,0.153846153846,0.124542124542,49.1351351351,190.0,37.209486166,59.1739130435,273
SEA,Seattle Tacoma International Airport,Seattle,WA,47.44900131225586,-122.30899810791016,FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,56.5,0.110576923077,0.105769230769,0.0913461538462,89.3666666667,748.0,99.3768115942,120.922705314,208
SEA,Seattle Tacoma International Airport,Seattle,WA,47.44900131225586,-122.30899810791016,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,16.0,0.133917396746,0.0763454317897,0.0538172715895,26.5098039216,672.0,98.3505025126,120.903266332,799
SEA,Seattle Tacoma International Airport,Seattle,WA,47.44900131225586,-122.30899810791016,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,0.0,0.082005899705,0.0613569321534,0.0401179941003,17.2847826087,679.0,102.077291791,126.434391851,1695
SEA,Seattle Tacoma International Airport,Seattle,WA,47.44900131225586,-122.30899810791016,SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,22.0,0.104838709677,0.0794930875576,0.0460829493088,33.9609375,697.0,103.780600462,124.020785219,868
SEA,Seattle Tacoma International Airport,Seattle,WA,47.44900131225586,-122.30899810791016,SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,24.0,0.100230414747,0.0771889400922,0.0541474654378,39.9743589744,605.0,83.5144175317,105.311418685,868
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,38.0,0.190476190476,0.16369047619,0.125,56.5802469136,250.0,44.7066246057,72.9747634069,336
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,45.5,0.227848101266,0.189873417722,0.164556962025,73.2631578947,238.0,40.8733333333,63.4866666667,158
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,47.0,0.24791086351,0.214484679666,0.175487465181,60.6262626263,522.0,73.1633237822,100.452722063,359
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,45.0,0.20218579235,0.180327868852,0.144808743169,58.4905660377,326.0,49.7979041916,71.6571856287,732
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,EUG,Mahlon Sweet Field,Eugene,OR,44.12459945678711,-123.21199798583984,47.0,0.214285714286,0.181467181467,0.15250965251,66.6033057851,451.0,69.5667351129,96.2772073922,518
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,54.0,0.304347826087,0.260869565217,0.228260869565,73.6271186441,158.0,32.2333333333,57.2944444444,184
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,JAC,Jackson Hole Airport,Jacksn Hole,WY,43.6072998046875,-110.73799896240234,54.0,0.204301075269,0.172043010753,0.172043010753,62.28,737.0,97.9130434783,129.097826087,93
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,40.0,0.211914506594,0.177808094588,0.142792178263,60.0545112782,414.0,63.1820276498,87.8433179724,2199
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,29.0,0.187798770772,0.157523332575,0.127247894377,49.8678915136,337.0,54.2742123687,85.4256709452,4393
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,LGB,Long Beach /Daugherty Field/ Airport,Long Beach,CA,33.81769943,-118.1520004,43.5,0.284132841328,0.236162361624,0.19926199262,62.9404761905,354.0,59.697761194,78.5708955224,271
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,MFR,Rogue Valley International Medford Airport,Medford,OR,42.37419891357422,-122.87300109863281,35.5,0.226361031519,0.194842406877,0.137535816619,55.0340909091,329.0,53.6616314199,79.2235649547,349
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,37.62409973,-118.8379974,30.5,0.186813186813,0.120879120879,0.0989010989011,36.6111111111,193.0,38.7605633803,62.4507042254,91
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,MRY,Monterey Peninsula Airport,Monterey,CA,36.58700180053711,-121.84300231933594,39.0,0.146892655367,0.124293785311,0.101694915254,51.1379310345,77.0,21.717791411,46.0,177
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,MTJ,Montrose Regional Airport,Montrose CO,CO,38.509799957300004,-107.893997192,60.0,0.2,0.2,0.2,61.6,791.0,96.0,127.125,25
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,ONT,Ontario International Airport,Ontario,CA,34.055999755859375,-117.60099792480469,47.0,0.268907563025,0.226890756303,0.1918767507,65.4926108374,363.0,57.6913946588,82.8931750742,714
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,OTH,Southwest Oregon Regional Airport,North Bend,OR,43.41709899902344,-124.24600219726562,57.5,0.372549019608,0.372549019608,0.352941176471,67.1363636364,412.0,66.7021276596,94.2127659574,51
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,PDX,Portland International Airport,Portland,OR,45.58869934,-122.5979996,39.0,0.162623539982,0.139263252471,0.11051212938,59.7647058824,550.0,79.9944903581,102.376492195,1113
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43429946899414,-112.01200103759766,39.0,0.151757188498,0.126198083067,0.0998402555911,58.4479638009,651.0,88.7090032154,111.751607717,1252
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,PSC,Tri Cities Airport,Pasco,WA,46.26470184326172,-119.11900329589844,63.5,0.274193548387,0.241935483871,0.217741935484,79.9473684211,620.0,87.3898305085,111.686440678,124
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,PSP,Palm Springs International Airport,Palm Springs,CA,33.8297004699707,-116.50700378417969,45.0,0.251396648045,0.217877094972,0.188547486034,63.2885572139,421.0,62.4486251809,86.8075253256,716
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,RDD,Redding Municipal Airport,Redding,CA,40.50899887,-122.2929993,41.0,0.226519337017,0.171270718232,0.138121546961,66.4444444444,199.0,35.4226190476,60.8035714286,181
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,RDM,Roberts Field,Redmond-Bend,OR,44.2541008,-121.1500015,52.0,0.242307692308,0.215384615385,0.180769230769,59.9275362319,462.0,68.7676348548,94.979253112,260
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,RNO,Reno Tahoe International Airport,Reno,NV,39.49909973144531,-119.76799774169922,45.5,0.216292134831,0.182584269663,0.151685393258,58.1666666667,192.0,34.4127906977,59.5843023256,356
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,43.0,0.195456946646,0.173798203909,0.143159006867,60.7146341463,447.0,66.4391447368,85.3941885965,1893
SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,SBA,Santa Barbara Municipal Airport,Santa Barbara,CA,34.42620087,-119.8399963,44.0,0.201117318436,0.171322160149,0.150837988827,60.832,262.0,45.0968379447,71.3339920949,537
