DEPARTURES_PERFORMED_sum,SEATS_sum,PASSENGERS_sum,occupancy_total,orig_code,orig_name,orig_city,ORIGIN_STATE_ABR,orig_lat,orig_lon,dest_code,dest_name,dest_city,DEST_STATE_ABR,dest_lat,dest_lon,occupancy_med,occupancy_mean,DISTANCE_mean,RAMP_TO_RAMP_mean,AIR_TIME_mean
1.0,13.0,5.0,0.384615384615,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,0.384615384615,0.384615384615,193.0,44.0,34.0
1.0,76.0,65.0,0.855263157895,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,GJT,Grand Junction Regional Airport,Grand Junction,CO,39.1223983765,-108.527000427,0.855263157895,0.855263157895,642.0,166.0,145.0
863.0,121256.0,82783.0,0.682712608036,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,0.602941176471,0.550631182835,223.0,2706.68421053,1877.57894737
1.0,7.0,4.0,0.571428571429,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,MRY,Monterey Peninsula Airport,Monterey,CA,36.58700180053711,-121.84300231933594,0.571428571429,0.571428571429,256.0,59.0,49.0
1010.0,143542.0,100919.0,0.703062518287,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,0.596571428571,0.553728821155,325.0,5295.84615385,3968.92307692
1.0,7.0,1.0,0.142857142857,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,OTH,Southwest Oregon Regional Airport,North Bend,OR,43.41709899902344,-124.24600219726562,0.142857142857,0.142857142857,710.0,104.0,94.0
1.0,8.0,5.0,0.625,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,PGA,Page Municipal Airport,Page,AZ,36.92610168,-111.447998,0.625,0.625,432.0,69.0,61.0
862.0,100084.0,67466.0,0.674093761241,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43429946899414,-112.01200103759766,0.69467139844,0.653759011961,369.0,4412.0625,3384.4375
2.0,28.0,1.0,0.0357142857143,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,PRB,Paso Robles Municipal Airport,Paso Robles,CA,35.67290115,-120.6269989,0.0357142857143,0.0357142857143,164.0,84.0,60.0
2.0,14.0,5.0,0.357142857143,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,PVU,Provo Municipal Airport,Provo,UT,40.219200134277,-111.72299957275,0.357142857143,0.357142857143,553.0,91.5,81.5
1.0,8.0,3.0,0.375,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,RDD,Redding Municipal Airport,Redding,CA,40.50899887,-122.2929993,0.375,0.375,486.0,86.0,74.0
2.0,16.0,1.0,0.0625,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,RIL,Garfield County Regional Airport,Rifle,CO,39.52629852,-107.7269974,0.0625,0.0625,693.0,205.0,181.0
1.0,14.0,2.0,0.142857142857,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,SAC,Sacramento Executive Airport,Sacramento,CA,38.5125007629,-121.492996216,0.142857142857,0.142857142857,345.0,64.0,52.0
2.0,25.0,1.0,0.04,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,SBA,Santa Barbara Municipal Airport,Santa Barbara,CA,34.42620087,-119.8399963,0.04,0.04,86.0,62.0,40.0
747.0,65012.0,45852.0,0.705285178121,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,0.696172149222,0.665500277934,326.0,3639.875,2600.6875
590.0,83483.0,53904.0,0.645688343735,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,0.636107348149,0.559919222391,296.0,3366.0,2578.63636364
260.0,14147.0,12109.0,0.855941188945,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839874267578,-111.97799682617188,0.858209624002,0.8202500545,574.0,2883.6,2244.7
574.0,82096.0,62012.0,0.755359579029,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,0.725524475524,0.694188426547,358.0,5838.71428571,4650.0
1.0,14.0,3.0,0.214285714286,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,SUN,Friedman Memorial Airport,Hailey,ID,43.50439835,-114.2959976,0.214285714286,0.214285714286,678.0,103.0,91.0
1.0,10.0,3.0,0.3,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,TKF,Truckee Tahoe Airport,Truckee,CA,39.319999694799996,-120.13999939,0.3,0.3,367.0,64.0,54.0
1.0,7.0,6.0,0.857142857143,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,TRM,Jacqueline Cochran Regional Airport,Palm Springs,CA,33.62670135498,-116.16000366211,0.857142857143,0.857142857143,132.0,40.0,30.0
1.0,7.0,3.0,0.428571428571,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,TWF,Joslin Field Magic Valley Regional Airport,Twin Falls,ID,42.48180008,-114.487999,0.428571428571,0.428571428571,608.0,141.0,131.0
1.0,30.0,13.0,0.433333333333,CEC,Jack Mc Namara Field Airport,Crescent City,CA,41.78020096,-124.2369995,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,0.433333333333,0.433333333333,56.0,28.0,18.0
176.0,5288.0,2056.0,0.38880484115,CEC,Jack Mc Namara Field Airport,Crescent City,CA,41.78020096,-124.2369995,PDX,Portland International Airport,Portland,OR,45.58869934,-122.5979996,0.393138357705,0.388894031437,275.0,4440.33333333,3740.33333333
2.0,14.0,3.0,0.214285714286,CLD,Mc Clellan-Palomar Airport,Carlsbad,CA,33.12829971,-117.2799988,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,0.214285714286,0.214285714286,97.0,75.0,55.0
1.0,10.0,2.0,0.2,COE,Coeur D'Alene - Pappy Boyington Field,Coeur d'Alene,ID,47.77429962,-116.8199997,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,0.2,0.2,746.0,116.0,106.0
239.0,19540.0,15580.0,0.797338792221,DEN,Denver International Airport,Denver,CO,39.861698150635,-104.672996521,PSP,Palm Springs International Airport,Palm Springs,CA,33.8297004699707,-116.50700378417969,0.76513671875,0.767734265487,776.0,2431.92307692,1980.15384615
4.0,280.0,107.0,0.382142857143,DRO,Durango La Plata County Airport,Durango,CO,37.1515007019,-107.753997803,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,0.382142857143,0.382142857143,640.0,470.0,365.0
1.0,8.0,2.0,0.25,EGE,Eagle County Regional Airport,Vail,CO,39.64260101,-106.9179993,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,0.25,0.25,735.0,119.0,109.0
8.0,1024.0,577.0,0.5634765625,EGE,Eagle County Regional Airport,Vail,CO,39.64260101,-106.9179993,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,0.5634765625,0.5634765625,748.0,513.0,429.0
354.0,37811.0,30262.0,0.800349104758,ELP,El Paso International Airport,El Paso,TX,31.80719948,-106.3779984,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,0.80701754386,0.816481879036,714.363636364,4066.36363636,3279.18181818
17.0,2837.0,2518.0,0.887557278816,ELP,El Paso International Airport,El Paso,TX,31.80719948,-106.3779984,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,0.906626506024,0.915157869045,636.0,586.0,506.666666667
1.0,179.0,90.0,0.502793296089,ENV,Wendover Airport,Wendover,UT,40.7187004089,-114.03099823,RDD,Redding Municipal Airport,Redding,CA,40.50899887,-122.2929993,0.502793296089,0.502793296089,435.0,85.0,70.0
207.0,17929.0,14526.0,0.810195772213,EUG,Mahlon Sweet Field,Eugene,OR,44.12459945678711,-123.21199798583984,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,0.857056101793,0.818510637232,748.0,2776.9,2168.6
